"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 20 15:02:59 CST 2022","Tue Sep 20 15:03:30 CST 2022","30156","","","","","","管理员用户登录功能测试 -- @1.4 ",""
"passed","Tue Sep 20 15:02:29 CST 2022","Tue Sep 20 15:02:59 CST 2022","30142","","","","","","管理员用户登录功能测试 -- @1.3 ",""
"passed","Tue Sep 20 15:01:33 CST 2022","Tue Sep 20 15:01:59 CST 2022","26124","","","","","","管理员用户登录功能测试 -- @1.1 ",""
"passed","Tue Sep 20 15:01:59 CST 2022","Tue Sep 20 15:02:29 CST 2022","30106","","","","","","管理员用户登录功能测试 -- @1.2 ",""
